N=100 cut fraction,N=100 time to solution (s),N=500 cut fraction,N=500 time to solution (s),N=1000 cut fraction,N=1000 time to solution (s)
0.8733333333333333,0.0020263195037841797,0.844,0.010823249816894531,0.8513333333333334,0.022643089294433594
0.8466666666666667,0.0022192001342773438,0.852,0.010341644287109375,0.8406666666666667,0.021278858184814453
0.8466666666666667,0.002082347869873047,0.8413333333333334,0.012743949890136719,0.8353333333333334,0.024624109268188477
0.8533333333333334,0.0019295215606689453,0.828,0.010127782821655273,0.852,0.02303481101989746
0.86,0.0021810531616210938,0.852,0.011241912841796875,0.8526666666666667,0.020681142807006836
0.8666666666666667,0.002859354019165039,0.852,0.010097742080688477,0.846,0.021364927291870117
0.8533333333333334,0.0021190643310546875,0.856,0.010975837707519531,0.8493333333333334,0.020016193389892578
0.82,0.002490997314453125,0.8426666666666667,0.010483980178833008,0.852,0.020534753799438477
0.86,0.002458810806274414,0.8386666666666667,0.010390758514404297,0.8493333333333334,0.021637916564941406
0.8466666666666667,0.0021257400512695312,0.84,0.010186910629272461,0.852,0.022660255432128906
0.84,0.002312898635864258,0.8586666666666667,0.010080575942993164,0.846,0.022418975830078125
0.84,0.002175569534301758,0.8493333333333334,0.010538816452026367,0.8526666666666667,0.0557248592376709
0.8133333333333334,0.002061128616333008,0.8493333333333334,0.01287698745727539,0.8526666666666667,0.022456645965576172
0.8333333333333334,0.002000093460083008,0.8546666666666667,0.01165771484375,0.836,0.023431777954101562
0.8333333333333334,0.001924276351928711,0.8373333333333334,0.010608434677124023,0.838,0.023700952529907227
0.8666666666666667,0.0023746490478515625,0.8346666666666667,0.01022481918334961,0.8426666666666667,0.026462078094482422
0.8533333333333334,0.0020384788513183594,0.86,0.012097358703613281,0.84,0.021677255630493164
0.8666666666666667,0.0019860267639160156,0.836,0.010034561157226562,0.8513333333333334,0.021869421005249023
0.86,0.0019636154174804688,0.8546666666666667,0.009958505630493164,0.842,0.02392864227294922
0.8666666666666667,0.002338886260986328,0.848,0.012079238891601562,0.846,0.024364709854125977
0.8333333333333334,0.002582073211669922,0.8453333333333334,0.011086463928222656,0.8473333333333334,0.022298097610473633
0.8333333333333334,0.0021219253540039062,0.844,0.011544227600097656,0.8453333333333334,0.022829055786132812
0.8066666666666666,0.0019304752349853516,0.8373333333333334,0.010204553604125977,0.8406666666666667,0.0224459171295166
0.8533333333333334,0.0022809505462646484,0.864,0.010923624038696289,0.8413333333333334,0.0238497257232666
0.82,0.0018727779388427734,0.8493333333333334,0.01051640510559082,0.8393333333333334,0.02214837074279785
0.8533333333333334,0.0020678043365478516,0.864,0.010600566864013672,0.852,0.021944761276245117
0.8266666666666667,0.0019614696502685547,0.844,0.010272502899169922,0.8553333333333333,0.02351093292236328
0.8533333333333334,0.0020225048065185547,0.8413333333333334,0.010203361511230469,0.8433333333333334,0.022556304931640625
0.8533333333333334,0.0019164085388183594,0.8533333333333334,0.00978708267211914,0.848,0.02053356170654297
0.8266666666666667,0.0021305084228515625,0.8493333333333334,0.01060032844543457,0.852,0.02199411392211914
0.84,0.0020346641540527344,0.8506666666666667,0.010605573654174805,0.8453333333333334,0.023626089096069336
0.8333333333333334,0.002159595489501953,0.8453333333333334,0.010339498519897461,0.8553333333333333,0.021526336669921875
0.8266666666666667,0.0018639564514160156,0.8533333333333334,0.010629415512084961,0.8513333333333334,0.022009611129760742
0.84,0.0020227432250976562,0.8493333333333334,0.010132074356079102,0.8466666666666667,0.022359132766723633
0.8133333333333334,0.002281665802001953,0.8533333333333334,0.010930538177490234,0.8606666666666667,0.022528409957885742
0.8466666666666667,0.002331972122192383,0.8586666666666667,0.010689020156860352,0.8453333333333334,0.022862911224365234
0.8533333333333334,0.0022346973419189453,0.852,0.010233640670776367,0.844,0.023287057876586914
0.86,0.0024368762969970703,0.8453333333333334,0.010697126388549805,0.8346666666666667,0.023894548416137695
0.86,0.002298116683959961,0.836,0.01042628288269043,0.8466666666666667,0.022837400436401367
0.86,0.001992464065551758,0.852,0.009877920150756836,0.8546666666666667,0.022317171096801758
0.86,0.0020592212677001953,0.836,0.010425806045532227,0.846,0.024106740951538086
0.8333333333333334,0.001840353012084961,0.84,0.010239124298095703,0.854,0.02264571189880371
0.8466666666666667,0.002154111862182617,0.8546666666666667,0.010237455368041992,0.842,0.022965192794799805
0.8733333333333333,0.0022919178009033203,0.8413333333333334,0.009968996047973633,0.8413333333333334,0.024361371994018555
0.8333333333333334,0.001983165740966797,0.8573333333333333,0.011050224304199219,0.834,0.02312946319580078
0.8533333333333334,0.002109527587890625,0.8386666666666667,0.009965658187866211,0.8533333333333334,0.021339893341064453
0.8533333333333334,0.0018951892852783203,0.848,0.010571718215942383,0.842,0.027195215225219727
0.8133333333333334,0.001970529556274414,0.856,0.013087272644042969,0.8486666666666667,0.02848982810974121
0.8533333333333334,0.0018856525421142578,0.852,0.010759592056274414,0.8526666666666667,0.02489471435546875
0.8466666666666667,0.002522706985473633,0.8453333333333334,0.012027502059936523,0.8406666666666667,0.026853084564208984
0.8266666666666667,0.0021555423736572266,0.8306666666666667,0.011509895324707031,0.8573333333333333,0.025321245193481445
0.8533333333333334,0.002539396286010742,0.86,0.01157379150390625,0.8486666666666667,0.026354551315307617
0.82,0.002038240432739258,0.8386666666666667,0.01157522201538086,0.828,0.024257898330688477
0.8133333333333334,0.002205371856689453,0.844,0.010263919830322266,0.8413333333333334,0.028903961181640625
0.8466666666666667,0.0021800994873046875,0.8413333333333334,0.010157108306884766,0.8453333333333334,0.024408817291259766
0.8533333333333334,0.002187967300415039,0.8453333333333334,0.011442184448242188,0.8453333333333334,0.062036991119384766
0.8533333333333334,0.002147674560546875,0.8373333333333334,0.00981760025024414,0.8513333333333334,0.025811433792114258
0.8333333333333334,0.0020837783813476562,0.8493333333333334,0.009591102600097656,0.844,0.021638870239257812
