cut fraction,time to solution (s)
0.844,0.015621424
0.836666667,0
0.848,0.01465559
0.854666667,0
0.852,0.015670061
0.841333333,0.01561594
0.842666667,0
0.863333333,0
0.84,0.015618801
0.842,0.015623569
0.850666667,0
0.835333333,0
0.847333333,0
0.84,0
0.837333333,0.015624046
0.846,0
0.854,0.015618086
0.847333333,0
0.843333333,0
0.846,0
0.843333333,0.015621185
0.846666667,0.015627861
0.848,0.01561451
0.837333333,0.015622616
0.856,0
0.858,0
0.851333333,0
0.853333333,0.015621662
0.846,0.015621185
0.859333333,0.015625477
0.850666667,0
0.841333333,0
0.848666667,0.015621424
0.846666667,0.015622139
0.844666667,0
0.859333333,0
0.848,0.015670776
0.85,0.015616655
0.842666667,0.01562047
0.834,0.015619278
0.835333333,0
0.836,0
0.853333333,0.015627623
0.848666667,0
0.842,0
0.847333333,0.005049944
0.856666667,0.017262459
0.843333333,0.007009983
0.852666667,0.015659571
0.850666667,0
0.848666667,0
0.844666667,0
0.854,0.015622854
0.848666667,0.015618086
0.839333333,0.015625
0.856,0.015626669
0.858666667,0
0.842666667,0
0.844666667,0.015621424
0.846666667,0.015621901
0.848,0.001050234
0.855333333,0.015665293
0.844,0.015620947
0.85,0.015620232
0.849333333,0
0.844666667,0
0.847333333,0.015625
0.848666667,0
0.84,0
0.85,0.015626192
0.839333333,0.01562047
0.849333333,0
0.847333333,0
0.839333333,0
0.843333333,0.015628576
0.85,0.015620947
0.838,0.015621662
0.852,0.015621424
0.842666667,0.015625715
0.844,0
0.843333333,0
0.824666667,0.015631676
0.832666667,0
0.841333333,0.015622854
0.847333333,0.015679359
0.858,0.015583754
0.841333333,0
0.850666667,0
0.846666667,0
0.839333333,0
0.85,0.020615339
0.848,0
0.846,0.015668154
0.845333333,0.015617371
0.856666667,0.015621662
0.850666667,0
0.844666667,0
0.840666667,0
0.854666667,0.015628099
0.846,0.015613794
0.846,0
0.844666667,0
0.842666667,0.015621424
0.842,0.015617847
0.844,0.015627623
0.841333333,0.01562047
0.846666667,0.016691446
0.85,0
0.854666667,0
0.842,0
0.841333333,0
0.849333333,0.015630484
0.854,0.015611649
0.856666667,0
0.858666667,0
0.846,0
0.848666667,0.015615463
0.844666667,0.015621901
0.855333333,0
0.853333333,0
0.858,0.015625715
0.855333333,0.018974781
0.839333333,0.006981611
0.840666667,0.006985426
0.858,0.006985188
0.843333333,0.006978035
0.852,0.00698328
0.844,0.006982327
0.851333333,0.004029751
0.841333333,0.015666962
0.836666667,0
0.852666667,0
0.85,0.015616655
0.853333333,0.015622139
0.844666667,0
0.845333333,0.015613556
0.840666667,0.015625715
0.853333333,0.015617371
0.836666667,0.015624762
0.849333333,0
0.846,0
0.839333333,0.015623093
0.836,0.015620232
0.857333333,0.015629053
0.844,0
0.836,0
0.84,0
0.846666667,0.015621185
0.850666667,0.016965151
0.846,0.015668631
0.859333333,0
0.844,0
0.847333333,0.015626431
0.858666667,0
0.842,0
0.840666667,0.015616417
0.86,0.015625954
0.852666667,0.015617609
0.840666667,0.015624523
0.852,0
0.844666667,0
0.858666667,0
0.85,0.015615702
0.865333333,0.015627623
0.834666667,0
0.845333333,0
0.854666667,0.015664577
0.852666667,0.01562953
0.839333333,0
0.855333333,0
0.847333333,0
0.852666667,0
0.844,0
0.866666667,0.015621185
0.842,0.015620947
0.842666667,0.015622616
0.840666667,0.015625
0.858,0
0.848,0
0.855333333,0
0.851333333,0
0.843333333,0.015621185
0.847333333,0.015626907
0.844666667,0
0.848666667,0
0.838,0.015625238
0.845333333,0
0.848666667,0.015625715
0.86,0
0.848666667,0
0.852666667,0
0.846666667,0
0.836,0
0.85,0.015619755
0.842666667,0
0.848666667,0
0.839333333,0.015617847
0.843333333,0
0.843333333,0.020497084
0.852666667,0.006980419
0.846666667,0.006976843
0.848,0.006984949
0.837333333,0.006982327
0.838,0.006984711
0.836,0.005977869
0.848,0.00698638
0.837333333,0.006985426
0.844666667,0.006991148
0.851333333,0.005010128
0.855333333,0.015667439
0.846,0
0.846666667,0
0.857333333,0.015621424
0.846,0.01562047
0.854666667,0.015581608
0.847333333,0
0.85,0
0.836666667,0
0.844,0.015625715
0.852,0.015617132
0.846,0.015621185
0.861333333,0.015625
0.841333333,0
0.848666667,0
0.846,0
0.858,0.015618324
0.856,0.01561594
0.854,0
0.835333333,0
0.851333333,0.015621185
0.852,0.015617371
0.861333333,0.015625
0.835333333,0
0.85,0
0.840666667,0
0.846666667,0.015621424
0.84,0.015622854
0.85,0.015621185
0.840666667,0
0.85,0
0.84,0
0.855333333,0
0.833333333,0.01562047
0.854,0.015621901
0.844666667,0.015625715
0.845333333,0.015626669
0.843333333,0.015617132
0.835333333,0
0.846666667,0
0.854,0
0.85,0.015618324
0.846666667,0.015625238
0.840666667,0
0.835333333,0.005357742
0.857333333,0.015688896
0.843333333,0
0.842,0
